txn_id,source_id,target_id,quantity,price,timestamp,region,product_category
TXN-000001,DST-030,RTL-088,189,155.08,2025-01-01 01:35:15,east,electronics
TXN-000002,MFG-003,DST-035,1326,10.1,2025-01-01 03:17:36,east,medicine
TXN-000003,DST-034,RTL-043,110,36.29,2025-01-01 10:16:24,north,fertilizer
TXN-000004,DST-022,RTL-011,239,27.95,2025-01-01 18:59:23,north,medicine
TXN-000005,DST-015,RTL-083,397,3.25,2025-01-02 00:26:41,central,seeds
TXN-000006,MFG-010,DST-019,3696,3.64,2025-01-02 00:40:14,north,seeds
TXN-000007,MFG-001,DST-039,510,4.09,2025-01-02 08:30:29,central,seeds
TXN-000008,MFG-011,DST-029,607,3.93,2025-01-02 08:44:30,central,seeds
TXN-000009,MFG-012,DST-019,3973,3.17,2025-01-02 18:28:02,south,seeds
TXN-000010,MFG-003,DST-035,3701,9.12,2025-01-03 01:50:32,east,medicine
TXN-000011,MFG-002,DST-033,1657,13.27,2025-01-03 05:03:29,west,fertilizer
TXN-000012,DST-018,RTL-033,20,34.52,2025-01-03 10:48:58,east,fertilizer
TXN-000013,DST-031,RTL-021,147,28.85,2025-01-03 11:24:46,north,fertilizer
TXN-000014,MFG-002,DST-037,985,13.76,2025-01-03 15:26:49,west,fertilizer
TXN-000015,DST-023,RTL-088,354,39.78,2025-01-03 22:56:04,central,fertilizer
TXN-000016,MFG-003,DST-018,2283,13.12,2025-01-03 23:43:19,east,fertilizer
TXN-000017,DST-015,RTL-083,46,3.47,2025-01-04 06:42:54,central,seeds
TXN-000018,DST-013,RTL-015,256,30.92,2025-01-04 08:32:53,east,medicine
TXN-000019,DST-024,RTL-084,317,32.85,2025-01-04 09:21:52,central,medicine
TXN-000020,DST-030,RTL-024,164,127.42,2025-01-04 19:23:38,north,electronics
TXN-000021,DST-038,RTL-076,32,123.77,2025-01-04 22:31:14,west,electronics
TXN-000022,MFG-008,DST-004,3912,10.9,2025-01-05 03:52:38,east,fertilizer
TXN-000023,MFG-012,DST-035,4283,9.32,2025-01-05 10:05:05,south,medicine
TXN-000024,DST-033,RTL-004,365,32.81,2025-01-05 17:10:57,west,fertilizer
TXN-000025,MFG-004,DST-036,4897,12.62,2025-01-05 20:29:36,central,fertilizer
TXN-000026,DST-009,RTL-039,177,30.13,2025-01-06 02:49:25,east,medicine
TXN-000027,DST-013,RTL-045,289,23.79,2025-01-06 09:21:27,east,medicine
TXN-000028,DST-010,RTL-019,137,23.16,2025-01-06 12:19:43,central,medicine
TXN-000029,DST-022,RTL-011,155,30.62,2025-01-06 13:19:14,north,medicine
TXN-000030,MFG-003,DST-027,2070,60.5,2025-01-06 14:36:59,east,electronics
TXN-000031,DST-033,RTL-056,69,45.21,2025-01-07 06:52:59,west,fertilizer
TXN-000032,DST-005,RTL-015,367,156.19,2025-01-07 19:29:12,east,electronics
TXN-000033,MFG-002,DST-022,994,10.65,2025-01-08 03:10:19,west,medicine
TXN-000034,DST-040,RTL-076,101,36.98,2025-01-08 04:06:00,west,fertilizer
TXN-000035,MFG-001,DST-025,1295,4.09,2025-01-08 04:34:15,central,seeds
TXN-000036,DST-001,RTL-075,218,7.81,2025-01-08 16:37:12,west,seeds
TXN-000037,MFG-007,DST-025,2188,3.36,2025-01-10 03:00:47,central,seeds
TXN-000038,MFG-009,DST-006,3645,51.12,2025-01-10 15:43:17,north,electronics
TXN-000039,DST-008,RTL-074,372,126.18,2025-01-11 04:41:20,south,electronics
TXN-000040,DST-028,RTL-053,134,22.85,2025-01-12 05:54:51,west,medicine
TXN-000041,DST-011,RTL-083,128,40.4,2025-01-12 12:46:47,central,fertilizer
TXN-000042,MFG-008,DST-028,3189,10.76,2025-01-12 23:53:13,east,medicine
TXN-000043,DST-003,RTL-067,114,43.48,2025-01-13 01:17:22,east,fertilizer
TXN-000044,DST-033,RTL-056,252,41.69,2025-01-13 16:19:44,west,fertilizer
TXN-000045,DST-014,RTL-025,160,39.91,2025-01-13 20:01:26,north,fertilizer
