node_id,node_type,region,product_category
MFG-001,manufacturer,central,fertilizer
MFG-002,manufacturer,west,electronics
MFG-003,manufacturer,east,electronics
MFG-004,manufacturer,central,medicine
MFG-005,manufacturer,north,seeds
MFG-006,manufacturer,south,electronics
MFG-007,manufacturer,central,medicine
MFG-008,manufacturer,east,electronics
MFG-009,manufacturer,north,electronics
MFG-010,manufacturer,north,seeds
MFG-011,manufacturer,central,seeds
MFG-012,manufacturer,south,seeds
DST-001,distributor,west,seeds
DST-002,distributor,central,seeds
DST-003,distributor,east,fertilizer
DST-004,distributor,east,fertilizer
DST-005,distributor,east,electronics
DST-006,distributor,central,electronics
DST-007,distributor,west,fertilizer
DST-008,distributor,south,electronics
DST-009,distributor,east,medicine
DST-010,distributor,central,medicine
DST-011,distributor,central,fertilizer
DST-012,distributor,north,medicine
DST-013,distributor,east,medicine
DST-014,distributor,north,fertilizer
DST-015,distributor,central,seeds
DST-016,distributor,central,electronics
DST-017,distributor,central,fertilizer
DST-018,distributor,east,fertilizer
DST-019,distributor,south,seeds
DST-020,distributor,south,medicine
DST-021,distributor,central,medicine
DST-022,distributor,north,medicine
DST-023,distributor,central,fertilizer
DST-024,distributor,central,medicine
DST-025,distributor,west,seeds
DST-026,distributor,east,medicine
DST-027,distributor,west,electronics
DST-028,distributor,west,medicine
DST-029,distributor,east,seeds
DST-030,distributor,central,electronics
DST-031,distributor,north,fertilizer
DST-032,distributor,central,electronics
DST-033,distributor,west,fertilizer
DST-034,distributor,north,fertilizer
DST-035,distributor,east,medicine
DST-036,distributor,south,fertilizer
DST-037,distributor,west,fertilizer
DST-038,distributor,west,electronics
DST-039,distributor,west,seeds
DST-040,distributor,west,fertilizer
RTL-001,retailer,north,medicine
RTL-002,retailer,west,seeds
RTL-003,retailer,east,seeds
RTL-004,retailer,south,medicine
RTL-005,retailer,south,electronics
RTL-006,retailer,east,seeds
RTL-007,retailer,east,electronics
RTL-008,retailer,south,fertilizer
RTL-009,retailer,east,fertilizer
RTL-010,retailer,east,fertilizer
RTL-011,retailer,east,fertilizer
RTL-012,retailer,central,medicine
RTL-013,retailer,east,seeds
RTL-014,retailer,south,medicine
RTL-015,retailer,north,seeds
RTL-016,retailer,central,medicine
RTL-017,retailer,east,electronics
RTL-018,retailer,central,medicine
RTL-019,retailer,north,fertilizer
RTL-020,retailer,north,seeds
RTL-021,retailer,east,electronics
RTL-022,retailer,north,fertilizer
RTL-023,retailer,east,medicine
RTL-024,retailer,central,electronics
RTL-025,retailer,east,electronics
RTL-026,retailer,west,electronics
RTL-027,retailer,central,fertilizer
RTL-028,retailer,south,medicine
RTL-029,retailer,east,medicine
RTL-030,retailer,west,electronics
RTL-031,retailer,south,fertilizer
RTL-032,retailer,north,medicine
RTL-033,retailer,south,electronics
RTL-034,retailer,central,fertilizer
RTL-035,retailer,east,fertilizer
RTL-036,retailer,north,seeds
RTL-037,retailer,central,seeds
RTL-038,retailer,south,medicine
RTL-039,retailer,west,medicine
RTL-040,retailer,central,electronics
RTL-041,retailer,east,seeds
RTL-042,retailer,west,fertilizer
RTL-043,retailer,east,seeds
RTL-044,retailer,east,electronics
RTL-045,retailer,north,medicine
RTL-046,retailer,west,seeds
RTL-047,retailer,central,medicine
RTL-048,retailer,central,medicine
RTL-049,retailer,east,electronics
RTL-050,retailer,north,fertilizer
RTL-051,retailer,west,seeds
RTL-052,retailer,north,fertilizer
RTL-053,retailer,east,electronics
RTL-054,retailer,west,seeds
RTL-055,retailer,north,fertilizer
RTL-056,retailer,south,fertilizer
RTL-057,retailer,central,seeds
RTL-058,retailer,central,fertilizer
RTL-059,retailer,east,electronics
RTL-060,retailer,west,electronics
RTL-061,retailer,central,medicine
RTL-062,retailer,east,electronics
RTL-063,retailer,south,medicine
RTL-064,retailer,east,electronics
RTL-065,retailer,west,electronics
RTL-066,retailer,west,medicine
RTL-067,retailer,central,seeds
RTL-068,retailer,central,electronics
RTL-069,retailer,central,medicine
RTL-070,retailer,central,fertilizer
RTL-071,retailer,east,electronics
RTL-072,retailer,central,fertilizer
RTL-073,retailer,north,fertilizer
RTL-074,retailer,south,medicine
RTL-075,retailer,north,medicine
RTL-076,retailer,central,seeds
RTL-077,retailer,north,medicine
RTL-078,retailer,south,seeds
RTL-079,retailer,south,electronics
RTL-080,retailer,central,fertilizer
RTL-081,retailer,central,seeds
RTL-082,retailer,north,seeds
RTL-083,retailer,north,electronics
RTL-084,retailer,south,seeds
RTL-085,retailer,south,electronics
RTL-086,retailer,north,fertilizer
RTL-087,retailer,central,fertilizer
RTL-088,retailer,central,electronics
RTL-089,retailer,west,fertilizer
RTL-090,retailer,east,fertilizer
